time,pos,bid,score,first,trump,tricks
1539923230,1,1,0,0,D,"D7,SJ,DA,S7;C7,DQ,C5,CQ;HJ,SA,CJ,H10"
1539923230,1,1,0,3,H,"C10,HJ,C6,C9;HQ,S9,D5,S8;D2,DJ,D6,CA;H5,SQ,D10,CQ"
1539923230,1,1,11,2,D,"SQ,DJ,S7,S4;D9,H2,HA,DQ;S2,H4,H9,S5;C7,H7,C10,SJ;C4,H10,C8,SA"
1539923230,1,2,12,1,D,"SA,S8,S5,SK;S7,S2,S9,C3;C6,DQ,C2,C4;C8,D6,D9,D3;H6,DJ,CK,CJ;H9,H2,HQ,H8"
1539923230,1,1,11,0,S,"S3,S5,S2,S8;C9,CK,CJ,C10;C8,C5,D10,CA;C3,C6,H6,CQ;SA,D5,H9,D9;S7,DQ,H10,H2;C2,HJ,HK,HA"
1539923230,1,0,0,3,D,"S4,C2,SA,S6;S7,C3,S2,DA;CK,C5,C10,CJ;C9,D4,CQ,D8;HQ,H9,H2,H5;D2,D6,S5,HA;D5,H10,H6,H8;DJ,HJ,SQ,H7"
1539923230,1,1,11,2,H,"S5,SK,SJ,S3;S10,S2,HK,HA;C8,C6,C2,C4;SQ,S9,HJ,CA;D2,C7,D3,D4;D6,C9,D9,D7;DJ,CK,D8,D10;CJ,H4,H10,H2;CQ,H7,H9,HQ"
1539923230,1,2,0,1,C,"SK,S9,S3,SA;S5,S8,S7,S6;C3,C6,C4,C10;CJ,CQ,CA,S10;C7,C8,CK,D2;HA,D10,D5,D6;HJ,D3,DJ,D7;H5,D4,DA,D9;H3,H10,H7,H4;H2,HK,H8,DQ"
1539923230,1,1,0,0,S,"HK,S7,S2,S4;H2,S8,S3,S5;DA,S10,S9,S6;DQ,SQ,SJ,SK;CA,C3,CK,C9;C2,D2,C10,CQ;DJ,D3,D10,D5;C8,D4,C7,DK;CJ,D6,H10,H4;D7,D8,H8,H7;D9,HJ,H3,HA"
1539923230,1,3,13,3,C,"S8,SA,S10,SK;S9,S6,S5,S4;C10,CQ,C7,C3;CJ,S7,S3,S2;D4,D7,DA,DK;D8,CK,C9,C4;D9,SJ,CA,C8;D10,D3,D6,DJ;H3,H2,HQ,C6;H7,H4,HJ,D2;H9,H6,H8,D5;H10,HK,H5,HA"
1539923230,1,1,11,0,S,"S3,S6,SK,S2;S10,SQ,SA,S4;CJ,HQ,C4,CA;H9,H10,HK,S5;H8,H6,H5,S8;DQ,H4,DA,S9;C7,H3,C10,C2;C3,DK,C6,CQ;D10,DJ,D5,D2;D7,D6,C8,D8;D4,D9,C9,HA"
1539923230,1,4,0,1,D,"SK,SA,S7,S9;S8,S4,SQ,S6;S2,DQ,SJ,DK;C2,CA,C6,C3;D7,C4,CQ,C5;S5,HA,D5,C7;D2,HJ,D8,D6;H2,H8,DA,C10;H9,H7,H4,H5;HK,C8,H6,CK"
1539923230,1,1,0,2,H,"SJ,S10,SQ,S6;S5,S9,S3,SK;S4,S2,HK,S7;C6,CQ,C7,C3;C2,C5,C10,C9;D2,D3,D6,D4;HQ,DJ,D7,S8;H4,H9,H3,H5;HJ,CJ,H7,H8"
1539923230,1,2,12,3,D,"S3,SA,S7,S9;DQ,SK,S2,S8;C2,C9,CA,CK;C8,DA,C10,CQ;D6,D2,D8,D10;CJ,H3,HA,C3;H5,H10,H4,DK;HK,HQ,H2,C5"
1539923230,1,1,0,0,H,"S7,S10,HQ,S4;C6,CK,C9,CQ;H10,C2,CJ,HA;H2,C8,H7,S8;D6,D5,D8,D9;D4,H5,D10,S9;D3,H8,H6,DQ"
1539923230,1,2,12,1,C,"S10,SJ,S4,SK;S9,CJ,S7,S8;C10,C5,C3,C4;DK,C7,D10,D7;H9,H2,H4,H8;HQ,H3,C6,HA"
1539923230,1,4,14,2,H,"S8,SA,SQ,S4;DA,S9,H8,SJ;C9,HK,CQ,CA;DJ,H9,H3,D4;D2,H10,D3,C7"
1539923230,1,0,10,3,S,"D2,C2,D3,S7;H8,C9,S8,S2;H5,H6,S9,S6;D6,H10,SQ,H4"
1539923230,1,1,11,0,H,"H10,D2,DQ,D3;CJ,HQ,C5,D5;H3,D4,CK,H5"
